الرمز,الكمية,السعر الابتدائي,سعر الهدف,سعر الإيقاف,الوقت,النتيجة,الرصيد المتبقي
NEIROUSDT,584.0,0.00171201,0.0017171688507431318,0.0017087457706284341,2024-10-31 04:26:10.816812,خسارة,6.99783992
DOGEUSDT,6.0,0.17015,0.1707812746298942,0.16976630268505288,2024-10-31 04:27:04.746707,انتهاء المهلة,7.019039919999999
DOGEUSDT,6.0,0.17032,0.17095359587800632,0.16993507406099684,2024-10-31 04:30:21.674762,انتهاء المهلة,7.038739919999999
PEPEUSDT,157563.0,9.52e-06,9.548560690152485e-06,9.501911654923759e-06,2024-10-31 05:09:12.217927,خسارة,3.9968485
PEPEUSDT,157895.0,9.5e-06,9.528500709895239e-06,9.481949645052382e-06,2024-10-31 05:09:36.917025,ربح,4.00158785
PEPEUSDT,157233.0,9.54e-06,9.568620717171732e-06,9.521873641414135e-06,2024-10-31 05:17:24.478950,ربح,4.00471981
PEPEUSDT,210084.0,9.52e-06,9.54856073240202e-06,9.50191163379899e-06,2024-10-31 05:24:52.895704,خسارة,5.995798000000001
PEPEUSDT,210526.0,9.5e-06,9.528500749600728e-06,9.481949625199637e-06,2024-10-31 05:25:14.292666,ربح,6.002110780000001
PEPEUSDT,209864.0,9.53e-06,9.558590724530746e-06,9.511892637734627e-06,2024-10-31 05:25:47.271248,خسارة,5.99791742
PEPEUSDT,420168.0,9.52e-06,9.548560785206387e-06,9.501911607396808e-06,2024-10-31 05:31:44.550439,ربح,4.0126044
PEPEUSDT,419287.0,9.54e-06,9.568620772231529e-06,9.521873613884236e-06,2024-10-31 05:35:42.932428,ربح,4.01257659
PEPEUSDT,417973.0,9.57e-06,9.598710756670492e-06,9.551816621664754e-06,2024-10-31 05:40:16.861341,خسارة,3.99164215
PEPEUSDT,261506.0,9.56e-06,9.588680761317137e-06,9.541835619341433e-06,2024-10-31 05:46:10.157819,خسارة,5.99476724
NEIROUSDT,1453.0,0.00172066,0.0017258541396476062,0.001717374666176197,2024-10-31 05:53:32.170608,خسارة,5.99498989
PEPEUSDT,262055.0,9.54e-06,9.568620777424513e-06,9.521873611287743e-06,2024-10-31 05:53:51.563381,خسارة,5.98975349
NEIROUSDT,1456.0,0.00171648,0.00172166162253649,0.0017132025967317552,2024-10-31 05:54:40.841809,ربح,5.9975824499999995
PEPEUSDT,262329.0,9.53e-06,9.558590783183044e-06,9.511892608408478e-06,2024-10-31 05:55:21.608435,خسارة,5.9923312399999995
DOGEUSDT,15.0,0.17032,0.17099942606144714,0.16991215896927644,2024-10-31 05:56:18.195061,انتهاء المهلة,6.056131239999999
NEIROUSDT,1450.0,0.00172357,0.0017287729008685117,0.0017202791215657441,2024-10-31 05:56:28.055479,خسارة,6.05014574
PEPEUSDT,262605.0,9.52e-06,9.548560789447339e-06,9.501911605276332e-06,2024-10-31 05:57:42.755442,ربح,6.05802349
NEIROUSDT,1452.0,0.0017214,0.0017265963638976446,0.0017181132580511777,2024-10-31 05:57:46.718392,خسارة,6.05160117
NEIROUSDT,1452.0,0.00172176,0.0017269574468736044,0.0017184725725631978,2024-10-31 06:00:52.543017,ربح,3.50758948
NEIROUSDT,1448.0,0.00172598,0.0017311899850017591,0.0017226846154991206,2024-10-31 06:02:10.643574,خسارة,3.5015667600000002
SHIBUSDT,134048.0,1.865e-05,1.870595190142889e-05,1.8614564049285555e-05,2024-10-31 06:02:17.573335,خسارة,3.49620004
DOGEUSDT,16.0,0.17116,0.17184946877283291,0.17074680161358355,2024-10-31 06:02:41.439706,انتهاء المهلة,3.73236004
PEPEUSDT,262054.0,9.55e-06,9.578650772186731e-06,9.531854613906636e-06,2024-10-31 06:02:44.486184,انتهاء المهلة,3.7349757400000003
PEPEUSDT,262055.0,9.54e-06,9.568620756960944e-06,9.521873621519528e-06,2024-10-31 06:03:24.799715,ربح,3.7428420900000003
NEIROUSDT,1450.0,0.00172368,0.0017288830363431389,0.0017203890098284305,2024-10-31 06:04:01.329214,خسارة,3.7373495900000004
SHIBUSDT,134336.0,1.861e-05,1.866583185440134e-05,1.857464007279933e-05,2024-10-31 06:05:21.668972,انتهاء المهلة,3.7386859100000005
DOGEUSDT,15.0,0.17103,0.171724054794472,0.170614560602764,2024-10-31 06:05:46.026033,انتهاء المهلة,3.8017359100000006
PEPEUSDT,261233.0,9.57e-06,9.598710744193207e-06,9.551816627903395e-06,2024-10-31 06:06:29.120340,انتهاء المهلة,3.8043480500000006
NEIROUSDT,1453.0,0.00172097,0.0017261648803961803,0.0017176841718019099,2024-10-31 06:07:07.355035,انتهاء المهلة,3.8088260300000005
PEPEUSDT,260960.0,9.58e-06,9.608740741086567e-06,9.561797629456716e-06,2024-10-31 06:08:23.349868,خسارة,3.8036036300000005
SHIBUSDT,134336.0,1.861e-05,1.866583185440134e-05,1.857464007279933e-05,2024-10-31 06:08:26.740460,انتهاء المهلة,3.8035965900000006
DOGEUSDT,15.0,0.17087,0.17156197122500721,0.17045566638749637,2024-10-31 06:08:51.249200,انتهاء المهلة,3.8646965900000008
NEIROUSDT,1451.0,0.00172329,0.0017284918605151658,0.001719999753742417,2024-10-31 06:10:12.166684,انتهاء المهلة,3.8608228700000007
PEPEUSDT,261506.0,9.56e-06,9.588680743415577e-06,9.541835628292211e-06,2024-10-31 06:11:27.553778,انتهاء المهلة,3.8608202300000007
SHIBUSDT,134409.0,1.86e-05,1.8655801844862616e-05,1.8564659077568695e-05,2024-10-31 06:11:32.831595,انتهاء المهلة,3.8621717200000005
DOGEUSDT,15.0,0.17073,0.17142031274719316,0.1703165516264034,2024-10-31 06:11:57.074588,انتهاء المهلة,3.9310717200000003
PEPEUSDT,261780.0,9.55e-06,9.578650752143275e-06,9.531854623928362e-06,2024-10-31 06:12:36.214860,ربح,3.9389241200000003
NEIROUSDT,1453.0,0.00172073,0.0017259241597330497,0.0017174446281334752,2024-10-31 06:13:17.610800,انتهاء المهلة,3.94148414
MEMEUSDT,198.0,0.01264,0.012679222320388102,0.012620388839805948,2024-10-31 20:07:09.077375,خسارة,8.49876
MEMEUSDT,198.0,0.01262,0.012659163993458612,0.012600418003270693,2024-10-31 20:08:07.514548,خسارة,8.49356
MEMEUSDT,198.0,0.01261,0.012649135735223664,0.012590432132388167,2024-10-31 20:09:01.017190,ربح,8.49826
OAXUSDT,14.0,0.1761,0.17885373726700235,0.17472313136649884,2024-10-31 20:09:22.253208,انتهاء المهلة,8.47626
MEMEUSDT,198.0,0.01265,0.012689252397212834,0.012630373801393584,2024-10-31 20:09:29.194778,ربح,8.48888
MEMEUSDT,197.0,0.01269,0.012729378848761559,0.01267031057561922,2024-10-31 20:10:11.353579,خسارة,8.48487
NEIROUSDT,1498.0,0.0016693,0.0016743355977390233,0.0016667822011304885,2024-10-31 20:15:14.867088,خسارة,10.99650688
NEIROUSDT,1500.0,0.0016665,0.0016715273829631472,0.0016639863085184264,2024-10-31 20:16:32.951609,خسارة,10.99219188
NEIROUSDT,1503.0,0.00166316,0.0016681771052833797,0.0016606514473583099,2024-10-31 20:17:24.290494,خسارة,10.98745745
NEIROUSDT,1507.0,0.0016589,0.0016639040771305076,0.0016563979614347463,2024-10-31 20:17:49.996739,خسارة,10.98347141
NEIROUSDT,1509.0,0.0016568,0.0016617976883214491,0.0016543011558392755,2024-10-31 20:18:31.668447,ربح,10.99121815
NEIROUSDT,1504.0,0.0016617,0.001666712630013495,0.0016591936849932522,2024-10-31 20:18:42.083767,خسارة,10.98594807
NEIROUSDT,1506.0,0.00165954,0.00166454602860756,0.00165703698569622,2024-10-31 20:21:22.584390,خسارة,10.981375009999999
NEIROUSDT,1509.0,0.001657,0.0016619982958225948,0.0016545008520887027,2024-10-31 20:23:52.704421,ربح,10.98978571
NEIROUSDT,1504.0,0.00166181,0.00166682296682108,0.0016593035165894598,2024-10-31 20:24:33.972792,خسارة,10.984816429999999
NEIROUSDT,1507.0,0.00165922,0.001664225052611729,0.0016567174736941356,2024-10-31 20:24:46.511381,خسارة,10.980785179999998
NEIROUSDT,1509.0,0.00165627,0.0016612660794182333,0.0016537719602908833,2024-10-31 20:25:54.689749,خسارة,10.975433799999998
NEIROUSDT,1512.0,0.00165398,0.00165896914401312,0.00165148542799344,2024-10-31 20:27:23.241047,خسارة,10.971186359999997
NEIROUSDT,1516.0,0.00164939,0.001654365322279851,0.0016469023388600746,2024-10-31 20:28:23.309669,خسارة,10.967689679999998
SHIBUSDT,138504.0,1.805e-05,1.8104155247946526e-05,1.8022922376026738e-05,2024-10-31 20:30:24.063775,خسارة,3.49584208
SHIBUSDT,138735.0,1.802e-05,1.807406540987923e-05,1.7992967295060385e-05,2024-10-31 20:30:51.702650,خسارة,3.49168473
ADAUSDT,1468.0,0.3432,0.34481440906863153,0.34239279546568424,2024-10-31 23:36:47.766729,انتهاء المهلة,504.25800000000004
XRPUSDT,867.0,0.5086,0.5110548755567235,0.5073725622216383,2024-10-31 23:36:50.257978,انتهاء المهلة,935.3009000000001
DOGEUSDT,5518.0,0.16064,0.16146380169626914,0.16022809915186545,2024-10-31 23:36:52.270694,انتهاء المهلة,1822.48494
DYDXUSDT,588.75,1.0014,1.0137339219427475,0.9952330390286264,2024-10-31 23:36:54.300381,انتهاء المهلة,2402.589065
LUNCUSDT,127177.11,9.197e-05,9.224601211503059e-05,9.183199394248471e-05,2024-10-31 23:36:56.970601,انتهاء المهلة,2394.3033486021
ARBUSDT,955.7,0.5231,0.5273988741687686,0.5209505629156157,2024-10-31 23:36:58.305755,انتهاء المهلة,2894.4211586021
JUPUSDT,684.6,0.9715,0.9779349045689494,0.9682825477155254,2024-10-31 23:37:00.470078,انتهاء المهلة,3562.7961386021
NOTUSDT,24310.0,0.006442,0.006461866647866066,0.0064320666760669665,2024-10-31 23:37:02.482441,انتهاء المهلة,3719.8144286021
NEIROUSDT,53136.0,0.00159943,0.001604287306584409,0.0015970013467077955,2024-10-31 23:37:04.546656,انتهاء المهلة,3794.8670983621
FTMUSDT,789.0,0.6501,0.6560152592856977,0.6471423703571512,2024-10-31 23:37:06.877419,انتهاء المهلة,4298.1115983621
XRPUSDT,20.0,0.5085,0.5109553849485816,0.5072723075257092,2024-10-31 23:39:54.971347,انتهاء المهلة,4268.2895983621
DOGEUSDT,62.0,0.16067,0.1614921062236446,0.1602589468881777,2024-10-31 23:39:57.318310,انتهاء المهلة,4278.2387383621
DYDXUSDT,9.98,1.0024,1.0146955782819553,0.9962522108590223,2024-10-31 23:39:58.684110,انتهاء المهلة,4278.2406943621
LUNCUSDT,108518.72,9.215e-05,9.242655186314958e-05,9.201172406842521e-05,2024-10-31 23:40:04.237435,انتهاء المهلة,4268.2548018437
NEIROUSDT,6244.0,0.00160149,0.0016063534698853214,0.0015990582650573391,2024-10-31 23:40:06.973444,ربح,4278.2859127237
ARBUSDT,19.1,0.523,0.5272998835559597,0.5208500582220202,2024-10-31 23:40:11.079206,انتهاء المهلة,4278.2809427237
NOTUSDT,1548.0,0.006458,0.006477911661697402,0.006448044169151299,2024-10-31 23:40:15.012639,انتهاء المهلة,4278.2763787237
FTMUSDT,15.0,0.6505,0.6564099070665749,0.6475450464667125,2024-10-31 23:40:22.354382,انتهاء المهلة,4268.0263787237
NEIROUSDT,6221.0,0.00160754,0.0016124216554236639,0.001605099172288168,2024-10-31 23:41:51.066120,ربح,4268.0620959237
NEIROUSDT,6193.0,0.00161471,0.0016196132672046813,0.0016122583663976595,2024-10-31 23:42:42.093207,خسارة,4268.045831223701
XRPUSDT,20.0,0.5088,0.511257964103749,0.5075710179481255,2024-10-31 23:43:07.580935,انتهاء المهلة,4268.219831223701
DOGEUSDT,62.0,0.16045,0.1612740481718997,0.16003797591405017,2024-10-31 23:43:08.939933,انتهاء المهلة,4278.1491312237
DYDXUSDT,9.98,1.0022,1.0145091753789106,0.9960454123105447,2024-10-31 23:43:10.956001,انتهاء المهلة,4278.1520852237
LUNCUSDT,108365.84,9.228e-05,9.255694151924739e-05,9.21415292403763e-05,2024-10-31 23:43:12.330978,خسارة,4288.1293281125
