الرمز,الكمية,السعر الابتدائي,سعر الهدف,سعر الإيقاف,وقت الاغلاق,وقت الفتح,نسبة الربح,نسبة الخسارة,المهلة,الربح,النتيجة,الرصيد المتبقي
COWUSDT,12.8,0.5476,0.5560713733695324,0.5384359133152338,2024-11-08 04:35:46.219942,1731029453.2898445,0.004,0.01,20m,-0.1315430400000004,خسارة,11.944582516019986
BONKUSDT,307152.0,2.279e-05,2.292674298283808e-05,2.251651850858096e-05,2024-11-08 04:36:41.713407,1731029347.7427545,0.004,0.01,20m,-0.10289591999999992,خسارة,11.855591596019988
WOOUSDT,33.3,0.2097,0.2114589951750955,0.20693320241245225,2024-11-08 04:36:54.503223,1731029009.7199304,0.004,0.01,20m,-0.10701953999999958,خسارة,11.745471826019987
1MBABYDOGEUSDT,2794.0,0.0025052,0.0025202836410058234,0.002475111379497088,2024-11-08 04:36:57.128424,1731029342.9586012,0.004,0.01,20m,-0.09793025879999995,خسارة,11.660985796619986
FLOKIUSDT,48199.0,0.00014523,0.00014610152859213977,0.0001434871657039301,2024-11-08 04:37:39.966784,1731029337.915588,0.004,0.01,20m,-0.09914148707999892,خسارة,11.575699708079988
RSRUSDT,920.9,0.007601,0.007647343399171312,0.007509419300414344,2024-11-08 04:40:45.050278,1731029748.2522492,0.004,0.01,20m,-0.11233874920000009,خسارة,18.470023083479987
ACHUSDT,339.0,0.02067,0.02079754334239854,0.020420198328800734,2024-11-08 04:43:18.038720,1731029352.7131371,0.004,0.01,20m,-0.09859475999999923,خسارة,18.392480703479986
PEPEUSDT,629496.0,1.112e-05,1.1186720981611247e-05,1.0986559509194377e-05,2024-11-08 04:46:05.950314,1731029810.5938942,0.004,0.01,20m,0.029976599519998537,ربح,25.429496883239985
BEAMXUSDT,359.0,0.0195,0.01961967961205951,0.019264660193970246,2024-11-08 04:46:13.576504,1731029467.3221347,0.004,0.01,20m,0.032575660000000894,ربح,25.476619713239984
RSRUSDT,935.6,0.007482,0.007527578682407329,0.007391872658796337,2024-11-08 04:46:27.570566,1731030051.2764022,0.004,0.01,20m,0.029884935200001017,ربح,32.51370798083998
ARKMUSDT,3.1,2.282,2.3342903355129265,2.235316832243537,2024-11-08 04:49:03.774662,1731029340.5930216,0.004,0.01,20m,-0.09458720000000032,انتهاء المهلة,32.50731438083998
EIGENUSDT,2.2,3.179,3.2916559212907233,3.094061039354638,2024-11-08 04:49:07.098537,1731029344.9908767,0.004,0.01,20m,-0.10620279999999926,انتهاء المهلة,39.40181298083998
ETHFIUSDT,4.4,1.626,1.6555336261627014,1.596599186918649,2024-11-08 04:49:12.243404,1731029349.889338,0.004,0.01,20m,-0.0845679999999982,انتهاء المهلة,39.48572898083998
IQUSDT,1123.0,0.006234,0.006271756982223669,0.0061590155088881654,2024-11-08 04:50:47.048021,1731029822.9665437,0.004,0.01,20m,0.02970784199999965,ربح,46.523263401839976
PEPEUSDT,626118.0,1.118e-05,1.1247080910004144e-05,1.1045839544997927e-05,2024-11-08 04:56:16.920840,1731030369.3609047,0.004,0.01,20m,0.02974060500000064,ربح,53.56004707433998
SXPUSDT,22.0,0.3181,0.32105227013083837,0.31376096493458083,2024-11-08 04:56:58.628862,1731029816.298256,0.004,0.01,20m,-0.04473480000000052,انتهاء المهلة,60.520479674339974
RSRUSDT,930.4,0.007524,0.007569823595858903,0.007433372202070549,2024-11-08 05:05:47.436106,1731030389.8313622,0.004,0.01,20m,-0.09849772639999976,خسارة,67.42922721113997


